stop_I;lat;lon;name
17;-33.8667898154755;151.086383264864;Homebush Station, Platform 4
18;-33.8668567279779;151.08626764398;Homebush Station, Platform 5
19;-33.8668937868841;151.086237008678;Homebush Station, Platform 6
20;-33.8670614896757;151.086342224215;Homebush Station, Platform 7
34;-34.0454557088847;150.773981856626;Glenfield Dr - Opp.No.31
37;-34.0495008451333;150.757564880231;Main St (Opp.Mt Annan Market Place)
38;-34.0499473306795;150.760052983108;Main St (Opp.Shell Service Station)
39;-34.0479618654;150.774536909978;Glenfield Dr (Harriet Pl)
41;-34.0465867283001;150.752077375077;Holdsworth Dr (Planetree Dr)
42;-34.0474795956242;150.754411855785;Holdsworth Dr (150m Before Morshead Rd)
44;-34.0482223181028;151.021431091969;Kingswood Rd Near Alamein St
45;-34.0499309451304;151.020158773049;Kingswood Rd Near Arundel St
47;-34.0438223926794;151.032501811439;Kingswood Rd Near Brigalow Pl
48;-34.0438286522486;151.031214037731;Kingswood Rd Near Wandobah St
49;-34.0438320595951;151.030012720983;Kingswood Rd Shops Kingswood Rd
50;-34.0448621460708;151.029650206994;Warilda Av Near Marlee Rd
51;-34.0458618205485;151.029665098387;Warilda Av Near Nimoola Rd
52;-34.0472040467577;151.028851906364;Warilda Av Near Battunga Pl
53;-34.0475946013394;151.026835379318;Warilda Av Near Appin Pl
54;-34.0473412718776;151.024669288426;Marton Public School Kingswood Rd
55;-33.9676315968759;151.253413210923;Bay Pde Near Howe St
56;-33.9660181958855;151.252392012679;Bay Pde Near Fox St
57;-33.9646427542519;151.248398359389;Prince Edward St Near Ireton St
58;-33.9650260621882;151.250861176175;Raglan St Near Bay Pde
59;-33.9659529956007;151.252453640152;Bay Pde Near Fox St
60;-33.9675840104066;151.253486530338;Bay Pde Near Howe St
61;-33.9656318360594;151.249236976317;Prince Edward St Near Raglan St
62;-33.9649548259764;151.250576489808;Raglan St Near Victoria St
65;-33.8402561850044;151.048695989192;Wetherill St Near Carnarvon St
79;-33.8050304224196;151.05482650521;Barlett St Near McArdle St
80;-33.8048116997694;151.056543148347;Bartlett St Opp Ashcroft St
81;-33.8094337647829;151.055185685235;Spurway St Near Horsfall St
82;-33.8077987521224;151.054763013873;Spurway St Opp Vignes St
83;-33.8075422355087;151.054891214991;Spurway St Near Vignes St
84;-33.8052642069009;151.054567708892;Bartlett St Near Spurway St
85;-33.8136145610149;151.056009374136;Spurway St Near Griffiths St
86;-33.8118435417217;151.055612612899;Spurway St Near Patterson St
87;-33.8109285019827;151.055763661506;Spurway St Near Stevens St
88;-33.8098920023075;151.055498785449;Spurway St Near Hume Av
96;-33.9119738534546;151.118607054655;Canterbury Station, Platform 1
97;-33.9119033724915;151.118290259531;Canterbury Station, Platform 2
114;-33.8348825824365;150.991960002059;Stockland Mall Pitt St Near Gladstone St
115;-33.8314535738189;150.992944863004;Pitt St Near Birmingham St
117;-33.8313321584813;150.992798844254;Pitt St Near Birmingham St
118;-33.8326047041957;150.9924585993;Pitt St Near Sheffield St
119;-33.8285209015928;150.9936288679;Pitt St Near Victoria St
120;-33.8295124369745;150.993340338066;Pitt St Near Walpole St
121;-33.8360973973853;150.988118529596;Merrylands Arcade Before Memorial Av
122;-33.8374612853915;150.986627056846;Addlestone Rd Near Wayman Pl
123;-33.8355163250815;150.991589992604;Stockland Mall, Pitt St Near McFarlane St
124;-33.83666334889;150.990952330188;Merrylands Station, Merrylands Road
130;-33.5837751357487;150.625651101364;Lieutenant Bowen Dr
145;-33.9057595821426;150.909826601434;Townview Rd Near Streeton Av
146;-33.9049592215856;150.911475900969;Mt Pritchard East Public School Townview Rd
147;-33.9034806126461;150.912067484416;Townview Rd Near Hoff St
148;-33.9011808561046;150.912978097344;Townview Rd Near Verbrugghen Pl
149;-33.8998316247452;150.912051858368;Townview Rd Near Bainton Rd
150;-33.8988708576338;150.910527458156;Town View Rd Near Oliphant St
151;-33.8973822629028;150.912566581006;Mobil Service Station Town View Rd
152;-33.897558984286;150.912110003619;Mobil Service Station Town View Rd
153;-33.7812368625747;150.703529483405;Tukara Rd Near Lindridge St
154;-33.7800702026972;150.705464964279;Eragar St Near Wardell Dr
155;-33.7785721847337;150.705832048997;Mary Mackillop Eragar St Near Fragar Rd
156;-33.777414957227;150.705954815832;Fragar Rd Near Gloria Pl
157;-33.7804383676977;150.697408232076;Tukara Rd Near Jason Av
158;-33.7806813608836;150.699221002344;Tukara Rd Near Joanna St
159;-33.7808912385615;150.700935224361;Tukara Rd Near Bickley Rd
163;-33.9515014809557;150.99606512642;Panania Av Near Sydney St
164;-33.8712949217353;151.206419971921;QVB, York St, Stand D
165;-33.9537891658745;150.998313170589;Panania Station, Braesmere Rd
166;-33.9497235515934;151.000306804189;Horsley Rd Near Benfield Pde
167;-33.9495301124987;151.002373688874;Horsley Rd Near Drake St
168;-33.9586578705171;150.98768458968;Park Rd Near Cheatle St
170;-33.8720768645889;151.210163255919;St James Station, Elizabeth St
173;-33.9485823703481;150.995777101319;Killara Av After Horsley Rd
174;-33.9498348366646;150.995500548047;Killara Av At Horsley Rd
175;-33.9134000047175;150.919481772246;Cumberland Hwy Near Grimson Cr
176;-33.9133185676141;150.90646512232;Lookout Dr Near Reservoir Rd
177;-33.9083818186761;150.918603266429;Ampol Service Station Cumberland Hwy
178;-33.9114643152604;150.918863440512;Cumberland Hwy Near Obrien Pde
179;-33.9163753731115;150.911220043678;Elizabeth Drive Nursing Home Elizabeth Dr
180;-33.9149570156373;150.90935015822;Elizabeth Dr Near Flowerdale Rd
181;-33.9181483861429;150.914403271478;Elizabeth Dr Near Marsden Rd
182;-33.9176150434814;150.912757552912;Elizabeth Dr Near Mclean St
183;-33.9183799006044;150.915905475753;Elizabeth Dr Before Park Rd
184;-33.9060010109985;151.03596431968;Rookwood Rd After Liverpool Rd
185;-33.9044115089817;151.04457756026;Highview Av Near Boronia Rd
186;-33.8779942751257;150.868843499981;Edensor Rd After Kalang Rd
187;-33.8798574771977;150.869197814766;Kalang Rd N Near Kalang Rd North
188;-33.8771316505153;150.87535154054;Edensor Park Plaza Edensor Rd
189;-33.8779298204247;150.872611107167;Edensor Rd Near Markovina St
190;-33.8771183911438;150.880061330078;Edensor Rd Near Duardo St
191;-33.8766217341377;150.877521585002;Old Bus Depot Edensor Rd
192;-33.8812485531698;150.886817472625;Edensor Rd Near Sweethaven Rd
193;-33.8780803301191;150.882989533457;Edensor Rd Near Eldershaw Rd
194;-33.8838969312241;150.897385639725;Brisbane Rd Near Knapton St
195;-33.8851596310721;150.897918547214;Melbourne Rd Before Geelong Cr
202;-33.9458769537565;150.947321179279;Heathcote Rd Near Birdwood Av
203;-33.9477296579744;150.948834062317;Heathcote Rd Near Anzac Rd
204;-33.9447304690971;150.947105995104;Nuwarra Rd Near Heathcote Rd
208;-33.9428632387401;150.950533463526;Nuwarra Rd Near Marshall Av
209;-33.9427767331454;150.950421344859;Nuwarra Rd Near Marshall Av
211;-33.8280442146824;150.936803654856;Merrylands Rd Near Bambil St
212;-33.8297536832712;150.951231772362;Greystanes Shopping Centre Merrylands Rd
213;-33.82978515104;150.949408479684;Merrylands Rd Near Cumberland Rd
214;-33.8274837281838;150.932912571188;Merrylands Rd Near Greystanes Rd
215;-33.8277917091328;150.935118510953;Merrylands Rd Near Carter St
216;-33.7958827666156;151.277031402665;Sydney Rd Near Thornton St
217;-33.7956229654532;151.275432138452;Sydney Rd Near Cohen St
218;-33.7950423474316;151.273730580103;Sydney Rd Near Brisbane St
219;-33.7949544589584;151.271589542521;Sydney Rd Near Austin St
220;-33.795094975202;151.271434666163;Sydney Rd Near Austin St
221;-33.795098136747;151.273161422182;Sydney Rd Near Bellevue St
222;-33.7958159720968;151.275582038818;Sydney Rd Near Cohen St
225;-33.9787374634187;151.110321878502;Woniora Rd And Blakesley Rd
236;-33.7506443310807;150.718987951944;Cambridge St Near Cam St
237;-33.7514272262567;150.718428429991;Cam St Near Richmond Rd
238;-33.7543324902158;150.720107622535;Londonderry Richmond Rd Near Gascoigne St
239;-33.7575759090092;150.754320228001;Werrington Post Office Victoria St
