from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
14341;34036;1734;155.83783783783784;74;9:74
18438;30018;8699;600.0;6;8:6
18438;6091;4579;306.0;2;8:2
18438;32916;569;87.0;2;8:2
18439;32912;569;89.53846153846153;52;8:52
18439;6097;4579;300.0;14;8:14
18439;32916;568;72.0;1;8:1
18439;12430;2644;174.83333333333334;72;10:72
18440;9776;1127;120.0;3;8:3
18440;34572;1836;180.0;24;8:23,1:1
18440;9774;1117;120.0;4;8:4
18442;9776;1138;126.0;47;8:47
18442;3553;1835;144.96;75;10:75
18442;34573;1843;180.0;1;8:1
18442;34574;1836;177.0;16;8:16
11095;13473;2675;210.0;5;8:5
11095;34571;10533;600.0;1;8:1
11095;11297;2548;210.0;1;8:1
11095;13471;2674;210.0;67;8:47,13:20
13329;9156;1492;120.0;1;6:1
13329;34239;3977;372.0;73;6:73
13330;34240;3988;396.0;1;6:1
13330;24097;1283;102.0;81;6:81
13331;24097;1282;102.0;117;3:6,6:111
13332;36962;5260;411.0;20;6:20
13332;36963;5261;360.0;4;6:4
13332;9156;1491;120.0;90;6:90
13332;18149;2680;192.0;6;3:6
13332;18150;2680;210.0;1;6:1
13332;34239;3972;378.0;2;6:2
4118;33134;1348;132.0;26;14:26
4118;10615;778;78.0;25;14:25
23580;23323;1467;149.42307692307693;52;10:1,11:51
11297;38501;2416;163.72881355932202;59;8:43,13:16
32803;18440;4579;297.0;2;8:1,1:1
32803;34572;6327;450.6;10;8:10
32803;12429;1952;134.72727272727272;11;8:10,14:1
11300;11092;2550;186.0;2;8:2
11300;11095;2547;206.64406779661016;59;8:42,13:17
14343;29052;986;90.0;74;9:74
5164;34240;1355;102.0;82;6:82
5164;29937;1267;114.0;1;6:1
5165;29937;1268;102.0;75;6:75
30778;8483;1502;150.0;80;11:80
30779;37819;1602;114.0;82;10:3,11:79
28732;12676;635;89.8359375;256;9:151,10:3,11:102
28733;22992;1043;210.0;171;10:153,11:18
13377;9575;2372;162.0;142;9:142
13379;15720;1317;108.0;143;9:143
13383;8959;1135;132.0;198;3:6,6:192
13384;23004;833;96.0;198;3:6,6:192
30793;9880;2618;240.0;25;12:20,4:5
30793;16634;1067;96.0;48;12:47,4:1
30793;9878;2637;240.0;6;12:6
21578;32516;926;113.48936170212765;94;10:69,13:25
36828;3427;1408;108.0;74;9:74
8270;13984;1153;144.0;2;11:2
8270;9576;2461;180.0;1;9:1
8270;36836;1155;125.87096774193549;93;9:8,10:3,11:82
8271;9576;2458;180.0;142;9:142
8271;13984;1152;186.0;1;9:1
8271;36836;1155;132.0;1;11:1
8272;12677;937;125.0;31;10:23,11:8
15441;30017;1485;253.54285714285714;70;7:70
8274;4061;1204;119.69072164948453;194;12:179,4:15
15443;953;1226;96.0;2;7:2
30119;19945;1066;96.0;44;10:4,11:40
27321;15104;1969;150.0;11;11:11
27321;33298;839;89.5945945945946;74;10:3,11:71
25689;423;7101;378.0;4;9:4
25689;28117;18668;914.0;9;9:9
25689;5079;2603;156.0;59;9:59
25690;19832;5938;330.0;1;9:1
25690;35970;5933;330.3243243243243;74;9:74
