from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
6272;4034;2094;900.0;5;723:5
6272;6269;1680;900.0;10;723:10
31211;31210;1311;1016.6666666666666;54;736:6,737:1,738:4,741:21,734:15,735:7
7331;7332;918;348.57142857142856;21;1458:21
7331;7358;705;166.95652173913044;23;1458:23
7331;18463;2771;480.0;2;1458:2
774;20818;9016;1500.0;8;720:8
774;19187;681;600.0;2;720:2
6410;31210;1548;600.0;1;735:1
6410;30286;1578;550.0;6;735:6
4906;6328;3496;390.0;4;1475:4
4906;18465;4760;712.5;16;1475:16
4906;34972;1833;504.0;5;1475:5
4906;18461;3288;360.0;2;1475:2
4946;9626;3101;1306.1538461538462;13;1458:13
4946;32583;3302;600.0;18;1458:18
781;15935;422;220.0;6;726:6
10707;18468;3482;480.0;17;1458:17
10707;32583;12306;1500.0;1;1458:1
10707;5736;257;230.9090909090909;33;1463:33
10707;17581;4693;780.0;7;1458:7
10707;18462;1137;780.0;16;1458:16
10707;18463;1171;780.0;2;1458:2
2093;35945;406;180.0;38;1458:38
2093;17581;1428;318.3333333333333;36;1458:36
34972;18465;3152;900.0;4;1475:4
34972;4906;1833;480.0;8;1475:8
34972;18461;2058;360.0;3;1475:3
34972;10085;817;350.0;6;1475:6
12138;28067;675;185.625;32;1468:32
26138;28880;945;300.0;10;726:10
26138;2354;1743;600.0;10;726:10
18463;28066;1248;360.0;4;1463:4
18463;28067;1519;420.0;32;1468:32
18463;7332;2371;720.0;1;1458:1
18463;17002;1446;480.0;4;1458:4
18463;29734;3079;720.0;17;1455:17
18463;29736;3157;900.0;2;1455:2
18463;37546;2319;600.0;9;1472:9
18463;34972;3244;660.0;2;1475:2
18463;4906;4858;660.0;1;1475:1
18463;10707;1171;780.0;1;1458:1
32028;7241;942;225.0;4;737:4
32028;23605;385;240.0;4;737:4
18462;28066;1243;344.61538461538464;39;1458:10,1463:29
18462;10707;1137;780.0;16;1458:16
18462;18468;3826;600.0;1;1458:1
18462;7332;2325;720.0;17;1458:17
18462;37546;2353;600.0;2;1472:2
18462;17002;1400;480.0;1;1458:1
18462;17581;5214;900.0;2;1458:2
11167;31211;1358;1140.0;5;736:5
18464;33131;9469;1800.0;43;1448:43
18465;10085;2616;696.0;5;1475:5
