from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
17153;15808;413;101.0;93;1313:93
6408;6411;536;90.0;104;1313:104
8201;19747;768;142.58241758241758;91;1313:91
6411;21905;355;62.0;104;1313:104
6412;6409;529;90.0;106;1313:106
10025;21908;275;60.0;104;1313:104
21905;10025;304;58.0;104;1313:104
22931;33725;564;82.0;91;1313:91
21908;4391;388;120.0;91;1313:91
21909;6412;384;73.16037735849056;106;1313:106
24793;22931;542;75.0;91;1313:91
12568;9326;693;100.0;93;1313:93
21147;6408;372;174.0;104;1313:104
21149;21147;278;118.0;104;1313:104
21150;21149;304;188.0;104;1313:104
32417;32420;383;56.0;91;1313:91
19747;28512;961;95.6043956043956;91;1313:91
32420;11816;365;51.0;91;1313:91
4391;15807;418;60.0;91;1313:91
11816;11818;598;88.0;91;1313:91
11817;8158;366;51.11827956989247;93;1313:93
11818;11817;598;87.98924731182795;93;1313:93
22941;22932;606;83.98924731182795;93;1313:93
28510;30936;829;112.52747252747253;91;1313:91
6409;8443;362;162.0;106;1313:106
15802;21907;307;69.0;93;1313:93
33725;32417;665;94.0;91;1313:91
33727;22941;552;78.36559139784946;93;1313:93
15808;15802;410;100.0;93;1313:93
24776;37929;814;121.48387096774194;93;1313:93
32419;33727;605;87.61290322580645;93;1313:93
15807;28510;693;95.52747252747253;91;1313:91
30936;8201;680;99.52747252747253;91;1313:91
30937;17153;686;120.0;93;1313:93
8158;32419;390;56.11827956989247;93;1313:93
28512;19565;819;122.0;91;1313:91
24812;12568;744;104.0;93;1313:93
19565;24793;541;77.0;91;1313:91
9326;30937;814;111.0;93;1313:93
21907;21909;299;60.0;106;1313:106
37929;24812;1041;135.0;93;1313:93
22932;24776;498;70.74193548387096;93;1313:93
8443;8444;274;110.0;106;1313:106
8444;21150;312;238.0;106;1313:106
